id,tieude,dientich,khuvuc
,"Đất nhà bán Mặt Tiền đường Phan Văn Hớn , Bà Điểm , Hốc Môn . 1.600m² . 49 Tỷ",1600 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Bán Gấp Hót Nhà Hẻm Tô Ký . Thới Tam Thôn . Hốc Môn . 160m2 . 6,95 Tỷ",160 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,CH Starlight 2PN - 57m2 giá rẻ và chính xác nhất,57 m²,"Quận 6, Hồ Chí Minh"
,"Bán đất thổ cư KDC Làng Sen, DT: 100m2, giá: 720tr/nền, Đức Hòa, SHR, chính chủ",100 m²,"Huyện Đức Hòa, Long An"
,Bán Đất 39m giá rẻ nhất Xã Tả Thanh Oai - Vị Trí Ok,39 m²,"Huyện Thanh Trì, Hà Nội"
,Căn Penhouse Tại Chung Cư Tecco Bình Tân 172m2 2PN,172 m²,"Quận Bình Tân, Hồ Chí Minh"
,Bán Chung Cư 2pn 62.4m2 tại Bình Tân giá 1640 ( chính chủ),63 m²,"Quận Bình Tân, Hồ Chí Minh"
,Căn Hộ Tecco town 2PN 2WC 2BC 63m2( Giá 1ty8 chính chủ),63 m²,"Quận Bình Tân, Hồ Chí Minh"
,"Bán căn hộ quận bình tân, căn hộ tecco town",92 m²,"Quận Bình Tân, Hồ Chí Minh"
,Chuyển Nhượng Căn Penhouse Tại Chung Cư Tecco Bình Tân,172 m²,"Quận Bình Tân, Hồ Chí Minh"
,Bán căn hộ tecco town 2PN 2WC 2BC 71m2,71 m²,"Quận Bình Tân, Hồ Chí Minh"
,Bán căn hộ sân vườn 123m2 3PN 2WC giá 2ty300,123 m²,"Quận Bình Tân, Hồ Chí Minh"
,"CƠ HỘI VÀNG MUA NHÀ KHU VỰC QUẬN 2 GIÁ TỐT, NHẬN NHÀ NGAY ĐÓN TẾT",80 m²,"Quận 2, Hồ Chí Minh"
,Bán nhà Trần Huy Liệu 38m2 2 tầng Xe hơi đỗ cửa 5.3 tỷ cho thuê 30m,38 m²,"Quận 3, Hồ Chí Minh"
,"**Cực Hot**Khu Đô Thị Đẳng Cấp Văn Quán, Hà Đông, ôtô Đỗ, DT 50m2, Mt 3,8m. Giá Chỉ 4.x tỷ",50 m²,"Quận Hà Đông, Hà Nội"
,"Giá chỉ 3,7 tỷ Nhà hẻm xe hơi đậu ngay cổng đường Hồ Thị Kỷ, Quận 10",24 m²,"Quận 10, Hồ Chí Minh"
,"Bán nhà đường Phương Mai, Lô góc, cạnh chợ,  40M, 4 tầng, MT 4.5M, giá chào 3.95 tỷ 0914342868",40 m²,"Quận Đống Đa, Hà Nội"
,SIÊU HIẾM KHÔNG CÓ CĂN THỨ 2 - THANG MÁY - Ô TÔ TRÁNH - KINH DOANH VĂN PHÒNG.,54 m²,"Quận Thanh Xuân, Hà Nội"
,Khu dân cư Marina Châu Pha - Bà Rịa. Đã có sổ.Sở hữu lâu dài. Thổ cứ 100m2. LH:0908532185,175 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,"Bán Căn Hộ Dịch Vụ  27 Phòng, Phú Nhuận",155 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,Bán nhà mới 2 lầu hẻm 326 đường Bùi Minh Trực Phường 6 Quận 8,36 m²,"Quận 8, Hồ Chí Minh"
,Chính chủ cần bán nhà dt 38m2,38 m²,"Quận Đống Đa, Hà Nội"
,Nhà nở hậu hẻm ôtô Phạm Thế Hiển thông Dương Bá Trạc P1 Q8,33 m²,"Quận 8, Hồ Chí Minh"
,"Bán lô đất Phúc Lợi ngõ 7m, kinh doanh, đầu tư giá 4.55 tỷ",75 m²,"Quận Long Biên, Hà Nội"
,"Bán nhà Tôn Đức Thắng 3 Tỷ 1, Ở luôn, 40M2, 5 Tầng, MT 4M",40 m²,"Quận Đống Đa, Hà Nội"
,"RẺ!!!Bán đất giãn dân Mậu Lương,Hà Đông,ô tô vào nhà, 60m2, 3.9tỷ",60 m²,"Quận Hà Đông, Hà Nội"
,"Trung tâm!!!Bán nhà mới 5 tầng Khu hưu trí Hà Trì 1,phố Bà Triệu,Hà Đông-33m2-2.95tỷ",33 m²,"Quận Hà Đông, Hà Nội"
,"Cực ngon!!!Bán nhà 2 tầng cũ ô tô 7 chỗ vào nhà Thanh Lãm,Xốm,Hà Đông,48m2,2.4 tỷ",48 m²,"Quận Hà Đông, Hà Nội"
,"Ngon!!!Bán nhà mới 4 tầng,gần ngã tư Quang Trung-Lê Trọng Tấn,Hà Đông,37m2,3.05tỷ",37 m²,"Quận Hà Đông, Hà Nội"
,"Hiếm,Hiếm, hiếm lắm, Nhà gần phố lớn Lê Trọng Tấn – Hà Đông, phân lô, lô góc, hơn 3 tỷ",42 m²,"Quận Hà Đông, Hà Nội"
,Cần vốn mở rộng sản xuât bán rẻ nhà xưởng (kho) Kim Bài ô tô tải vào nhà 400m2 MT10m 5.2tỷ,400 m²,"Huyện Thanh Oai, Hà Nội"
,"Tiện ích!!Bán nhà c4 mặt phố Yên Phúc,Văn Quán,ô tô vào nhà,kinh doanh,59m2,3.6tỷ",59 m²,"Quận Hà Đông, Hà Nội"
,"HIẾM-RẺ,Bán nhà 63m2 x 2 tầng Tập thể Công An Ba La,Hà Đông,phân lô,ngõ 6m,3.98tỷ",63 m²,"Quận Hà Đông, Hà Nội"
,"Bán nhà phố láng, đống đa: 57m, xây 5T, MT: 6,5m. Giá: 5,75 tỷ. 0944828386",57 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Hoàng Đạo Thành, Thanh Xuân: 80m, MT: 5m. Giá: 5,9 tỷ. LH: 0944828386",80 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán nhà E2 Tập thể Bách Khoa, Hai Bà Trưng: 70m, giá: 1,780 tỷ. LH: 0944828386",70 m²,"Quận Hai Bà Trưng, Hà Nội"
,"Bán nhà Nguyễn Chí Thanh, Đống Đa: 42m, 6T, MT: 4,2m, thang máy. 6,3 tỷ. 0944828386",42 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Thuỵ Khê, Quận Tây Hồ: 100m, MT: 7,4m, giá: 8,2 tỷ. LH: 0944838386",100 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà Phố Cự Lộc, Thanh Xuân: 30m, 5T, ô tô 15m, thoáng trước sau. 2,96 tỷ. 0944828386",30 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán nhà ngõ 180 Tây Sơn, Đống Đa: 35m, 5 Tầng, MT: 4,2m. Giá: 2,8 tỷ. LH: 0944828386",35 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Phân Lô Hoàng Văn Thái, Thanh Xuân: 37m, 3 tầng, ô tô đỗ. Giá: 2,95 tỷ. 0944828386",37 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán nhà đất Lạc Long Quân, Tây Hồ: 50m, MT: 4m, lô góc, ô tô 10m. 2,7 tỷ. LH: 0944828386",50 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà Mặt Phố Nguyễn Hữa Thọ, Hồ Linh Đàm: 200m, MT: 7,5m. 7T, 2 mặt ngõ.65 tỷ",200 m²,"Quận Hoàng Mai, Hà Nội"
,"BÁN NHÀ MẶT PHỐ LẠC LONG QUÂN, TÂY HỒ: 66M, MT: 4M. GIÁ: 17,5 TỶ. LH:0944828386",66 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà ngõ 1194 Đường Láng, Đống Đa: 133m, MT: 5,5 m, KD, Ô TÔ. Giá: 12 tỷ.  0944828386",133 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà mặt phố Lê Duẩn, Hoàn Kiếm: 34m, sử dụng 68m, Giá: 3,8 tỷ. LH: 0944828386",68 m²,"Quận Hoàn Kiếm, Hà Nội"
,"Bán nhà mặt phố Trích Sài, Tây Hồ: 70m, 5 tầng, Mt: 4,2m. view đẹp, Giá: 29,5 tỷ. 0944828386",70 m²,"Quận Tây Hồ, Hà Nội"
,"Bán đất mặt phố Khương Đình, Thanh Xuân: 190m2, MT: 7m, giá: 19 tỷ. 0944828386",190 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán đất tặng nhà phố Tô Vĩnh Diện, Thanh Xuân: 50m,MT: 6,8M, ô tô. Giá: 4,7 tỷ",50 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán đất Phương Liệt Quận Thanh Xuân: 120m, MT: 9.5m. Giá: 5,2 tỷ. LH: 0944828386",190 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán nhà Tân Mai, Hoàng Mai:  31m, MT: 3,6m, KD, ô tô. GIá: 2,55tỷ. LH: 0944828386",31 m²,"Quận Hoàng Mai, Hà Nội"
,"Bán Mặt phố Trần Quốc Vượng, Cầu Giấy: 60m2, 5T, MT: 12m, lô góc, KD. Giá: 16 tỷ",60 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán nhà đường Thịnh Quang, Lô góc, 3 mặt thoáng, 40M, 4 tầng, MT 4M, giá chào 3.7 tỷ 0904554573",40 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà mặt phố Hoàng Sâm, cầu giấy: 60m, xây 4 tầng: Giá: 11,3 tỷ",45 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán nhà thái hà, đống đa: 45m, xây 5 tầng, kinh doanh đỉnh, ô tô. LH: 0944828386",45 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Mặt phố nguyễn khang: 100m, xây 7 tầng, 29,6 tỷ.LH: 0944828386",40 m²,"Quận Cầu Giấy, Hà Nội"
,"Trần Quang Diệu: 42m2, 5T,Mt 5m, Phân lô, Ô tô, Sát vườn hoa, 5.9 tỷ, Làm VP…",42 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà mặt phố Lạc Long Quân, Tây Hồ: 66m, MT: 4m. Giá: 17,5 tỷ. LH: 0944828386",66 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà mặt phố Xã Đàn, Đống Đa: 30m2, MT: 4m.KD, lô góc. 12,8 tỷ.LH:0944828386",66 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà mặt phố Nhật Chiêu, Tây Hồ: 80m, 8T, MT: 6m, thang máy, lô góc. 53 tỷ.",80 m²,"Quận Tây Hồ, Hà Nội"
,"Bán Mặt Phố Nguyễn Khả Trạc, Mai Dịch, Quận Cầu Giấy: 80M, 7T, MT: 6,8m. Giá: 21 tỷ.",80 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán nhà ngõ 36 Duy Tân, Cầu Giấy: 32m, 4 Tầng, lô góc, ô tô tránh 20m. Gía: 2,85 tỷ",32 m²,"Quận Cầu Giấy, Hà Nội"
,"BÁN NHÀ TÔN ĐỨC THẰNG, ĐỐNG ĐA: 30M, 4T, MT: 5,5M, LÔ GÓC, KD, Ô TÔ. GIÁ: 4,8 TỶ",30 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà mặt phố Nguyên Hồng, Ba Đình: 30m, MT: 4,2m, KD tốt.  Giá: 10,5 tỷ. LH: 0944828386",30 m²,"Quận Ba Đình, Hà Nội"
,"Bán nhà mặt phố Xã Đàn, Quận Đống Đa: 60m, MT: 8m, 5T, Giá: 30 tỷ. 0944828386",60 m²,"Quận Đống Đa, Hà Nội"
,"Bán đất Phố Nhật Tảo, Quận Bắc Từ Liêm: 200m, MT:9m, Giá: 7,5 tỷ. LH: 0944828386",200 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"Bán nhà ngõ 318 Đê La Thành, Đống Đa: 80m, MT: 7m, 5T, lô góc: Giá: 11,8 tỷ. 0944828386",80 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Tân Mai, Hoàng Mai:  31m, MT: 3,6m, KD, ô tô. GIá: 2,55tỷ. LH: 0944828386",31 m²,"Quận Hoàng Mai, Hà Nội"
,"Bán nhà tập thế đường 800A, Cầu Giấy: 45m, thực tế: 84m, KD, ô Tô. 2,7 tỷ. 0944828386",84 m²,"Quận Cầu Giấy, Hà Nội"
,"BÁN NHÀ MẶT PHỐ TRÍCH SÀI, TÂY HỒ: 35M, 6 TẦNG, MT: 5M, LÔ GÓC, 3 THOÁG. 20,5 TY",35 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà Kim Giang, Quận Thanh Xuân: 40m, 4T, ô tô, lô góc. 3,75 tỷ. 0944828386",40 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán đất Dịch Vọng Hậu, Cầu Giấy: 31m, MT: 3,8, lô góc, ô tô 20m. Giá: 2,46 tỷ",31 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán nhà phân lô Cù Chính Lan, Thanh Xuân: 123m, MT: 5,3m. Giá: 12 tỷ. 0944828386",123 m²,"Quận Thanh Xuân, Hà Nội"
,Chỉ 3.5 tỷ sở hữu Biệt thự nghỉ dưỡng Phú Quốc sinh lời hiệu quả.,250 m²,"Huyện Phú Quốc, Kiên Giang"
,"ROSE TOWN-79 NGỌC HỒI: CHỈ 1,8 TỶ/2PN-NHẬN NHÀ ĐÓN TẾT-LÃI SUẤT 0% TRONG 12 THÁNG. LH: 0948772366",52 m²,"Huyện Thanh Trì, Hà Nội"
,Sol Forest - Ecopark vì sao lại nên đầu tư dài hạn tại đây?,33 m²,"Huyện Văn Giang, Hưng Yên"
,TÔI CHÍNH CHỦ CẦN BÁN LÔ ĐẤT NGAY QUỐC LỘ 51 ĐỐI DIỆN TRUNG TÂM HÀNH CHÍNH FULL THỔ,100 m²,"Huyện Long Thành, Đồng Nai"
,"Bán nhà nhỏ, Hẻm Tăng Bạt Hổ, P.11, Q.Bình Thạnh",34 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"BÁN NỀN CĂN GÓC DỰ ÁN TÂY THOẠI NGỌC HẦU, GIAI ĐOẠN 1 ĐẦU TƯ",100 m²,"Huyện Thoại Sơn, An Giang"
,NHÀ PHỐ THƯƠNG MẠI BIỂN 2 MẶT TIỀN SỔ HỒNG VĨNH VIỄN ĐẦU TIÊN TRÊN THỊ TRƯỜNG BDS,250 m²,"Quận 7, Hồ Chí Minh"
,"ROSE TOWN-79 NGỌC HỒI: CHỈ 1,8 TỶ/2PN-NHẬN NHÀ ĐÓN TẾT-LÃI SUẤT 0% TRONG 12 THÁNG. LH: 0948772366",52 m²,"Huyện Thanh Trì, Hà Nội"
,Bán căn nhà mặt tiền khu biển Hoàng Sa đường Tân Thái 3 phường Mân Thái quận Sơn Trà,76 m²,"Quận Sơn Trà, Đà Nẵng"
,Cần bán biệt thự The Réidence Phú Quốc  ngay trung tâm bãi trường Phú Quốc ,135 m²,"Huyện Phú Quốc, Kiên Giang"
,"Bán lô đất nền giá rẻ thổ cư trung tâm Diên Khánh chỉ từ 4,4tr/m2 -Đầu tư sinh lời cực kỳ tiềm năng",275 m²,"Huyện Diên Khánh, Khánh Hòa"
,"Bán đất mặt tiền, gần đường quốc lộ 1A có sổ đỏ hỗ trợ vay 50% nên chỉ cần 650 triệu.",100 m²,"Huyện Điện Bàn, Quảng Nam"
,"BÁN GẤP CĂN SHOPHOUSE 2 MẶT TIỀN, MẶT ĐƯỜNG 18M, VỈA HÈ 12M, GIÁ 11,2 TỶ, NHẬN NHÀ KINH DOANH LUÔN",95 m²,"Quận Long Biên, Hà Nội"
,"Chính chủ cần bán gấp lô Biệt thự Khai Sơn đối diện trường Quốc tế Pháp, rẻ hơn CĐT 4 tỷ 0971178786",160 m²,"Quận Long Biên, Hà Nội"
,"Sở hữu biệt thự cao cấp Khai Sơn Hill chỉ với 5 tỷ, nhận nhà ở ngay 0%LS/24 tháng - Lh 0944111223",160 m²,"Quận Long Biên, Hà Nội"
,BÁN GẤP CĂN GÓC SHOPHOUSE 3 MẶT TIỀN DỰ ÁN BÌNH MINH GARDEN 93 ĐỨC GIANG GIÁ SIÊU RẺ - 0944111223,125 m²,"Quận Long Biên, Hà Nội"
,"Chính chủ cần bán căn shophouse liền kề Đức Giang, Long Biên - Bình Minh Garden view công viên",75.6 m²,"Quận Long Biên, Hà Nội"
,"Bán nhà 110m2 đường Nguyễn Đình Khơi, Tân Bình 10 tỷ",110 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Bán nhà đẹp 2 mặt tiền, 85m2, 4 tầng, đường Vũ Tùng gần chợ Bà Chiểu, Bình Thạnh, 15.5 tỷ",85 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Bán nhà 96m2, 4 tầng, đường Trần Thái Tông quận Tân Bình 8.3 tỷ",96 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Định cư nước ngoài bán lô đất ngay kdc Lan Anh 4 giá 800tr/nền, ngân hàng hỗ trợ",112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,"Định cư nước ngoài bán lô đất ngay kdc Lan Anh 4 giá 800tr/nền, ngân hàng hỗ trợ",112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,"Bán gấp nhà Nguyễn Đình Hoàn, Cầu Giấy, gần phố, ngõ rộng thoáng 28m2 giá 2.8 tỷ",28 m²,"Quận Cầu Giấy, Hà Nội"
,Cần tiền bán gấp lô đất trục đường thông D5 đẹp nhất dự án Sở Văn Hóa Thông Tin Q9. LH: 0903382786,100 m²,"Quận 9, Hồ Chí Minh"
,CĂN NHÀ SIÊU ĐẸP DÂN XÂY TẠI THIÊN LÔI HẢI PHÒNG,60 m²,"Quận Lê Chân, Hải Phòng"
,"Đất thổ cư (4x17,5) mặt tiền đường vào khu Mỹ Thạnh Hưng , gần BigC,  giá 2,3 tỷ )",70 m²,"Thành phố Mỹ Tho, Tiền Giang"
,"SHANTIRA ngay đường ven biển 5* Hội An giá sốc bất ngờ chỉ từ 1,5 TỶ/CĂN",35 m²,"Huyện Điện Bàn, Quảng Nam"
,"Nhà siêu đẹp, Vĩnh Viễn quận 10, cách MT 20m, hẻm thẳng 1 trục, 3,9 tỷ",23 m²,"Quận 10, Hồ Chí Minh"
,Siêu Phẩm Đồi sen-Bình Yên,70 m²,"Huyện Thạch Thất, Hà Nội"
,"SIÊU PHẨM NHÀ ĐẸP KIM GIANG, HOÀNG MAI - 4 tầng - 36m2 - Mặt tiền 3,1",36 m²,"Quận Hoàng Mai, Hà Nội"
,"GẤP !! BÁN NHÀ MẶT PHỐ NGUYỄN THÁI HỌC, HÀ ĐÔNG , MT 6.6M KINH DOANH ĐỈNH ",52 m²,"Quận Hà Đông, Hà Nội"
,"Bán đất Bình Thạnh, Xô Viết Nghệ Tĩnh, Phường 25 tặng nhà 4 tấm. Đầu tư BAO LỜI chưa qua chủ nào",265 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Siêu phẩm nhà 5 tầng cực đẹp 35m2 nhỉnh 4.56 tỷ tại Đường Láng, tiện ích đầy đủ.",35 m²,"Quận Đống Đa, Hà Nội"
,Cơ hội sở hữu căn nhà đẹp nhất Quận Long Biên hướng Đông Nam DT 35m2 x 5T giá 3.45 tỷ.Thật 100%,35 m²,"Quận Long Biên, Hà Nội"
,"BÁN GẤP 4.5X16 đấT ThỔ CƯ CHính ChỦ giÁ 650TR Ngay ngã tư Xoài Đôi, Cần Đước, Long An",72 m²,"Huyện Cần Đước, Long An"
,Chỉ 150 triệu sở hữu đất phú mỹ 100 thổ cư giá mềm,100 m²,"Huyện Tân Thành, Bà Rịa Vũng Tàu"
,"Bán Nhà LÔ GÓC, 3 MẶT THOÁNG, đường Giải Phóng, Ô TÔ Vào Nhà, 50m2, Lh 0967443016",50 m²,"Quận Hoàng Mai, Hà Nội"
,"Bán căn hộ Monarchy full nội thất, view sông, giá tốt nhất T10/2020",54 m²,"Quận Sơn Trà, Đà Nẵng"
,"CẦN BÁN GẤP GIẢM CÒN 4,3 TỶ, 2 TẦNG MỚI XÂY HXH ĐƯỜNG HOÀNG DƯ KHƯƠNG – QUẬN 10",25 m²,"Quận 10, Hồ Chí Minh"
,"Mình Cần Bán Một Số Lô Đất Dọc Trục Đường Vào WyndHam Thanh Thủy, Một Số Lô Đất Quanh Dự Án",125 m²,"Huyện Thanh Thủy, Phú Thọ"
,"PHÚ NHUẬN NHÀ MỚI VÀO Ở NGAY, GẦN MẶT TIỀN CHỈ 5.590 TỶ TL",39 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,PHÚ NHUẬN 45M2 (4x11) CHÍNH CHỦ MỚI VÀO Ở NGAY CHỈ 5.3 TỶ TL,45 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,BÁN RẤT GẤP NHÀ CỰC ĐẸP 4PN HXH QUẬN PHÚ NHUẬN GIÁ 4 TỶ 5 ,37 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"NHÀ ĐẸP!!! Bán nhà mới 5 tầng, ngõ 181 Trần Phú, Văn Quán, Hà Đông, 2.85tỷ",31 m²,"Quận Hà Đông, Hà Nội"
,"Bán nhà hẻm xe hơi. Phường 9, Tân Bình, Giá 6.1 tỷ",45 m²,"Quận Tân Bình, Hồ Chí Minh"
,Đất nền dự án quận cái răng-cần thơ giá tốt,80 m²,"Cái Răng, Cần Thơ"
,"LỄ RA MẮT DỰ ÁN CHU LAI RIVERSIDE TẠI KHÁCH SẠN ORIENT NGÀY 28/11, ĐÀ NẴNG",122 m²,"Huyện Núi Thành, Quảng Nam"
,"Kẹt tiền cần sang gấp lô đất Thổ Cư, SHR ngay gần ngã tư Hồ Tràm.",500 m²,"Huyện Xuyên Mộc, Bà Rịa Vũng Tàu"
,"Nhà cực đẹp Xuân đỉnh. Diện tích: 32m2, 5 tầng, Mt5m, vỉa hè rộng. Giá: 3 tỷ có thương lượng",32 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"Chính chủ bán gấp căn nhà _ Hồ Biểu Chánh _ f.11_ Phú Nhuận_5 tầng_Hành lang_ sân thượng_ 36m2 _ chỉ 5,8 tỷ.",36 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Bán nhà đối diện hồ Hoàng Cầu, Đống Đa, 52m2 4 tầng 5,95 tỷ",52 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà phố Tân Mai 32m2 x 5 tầng, 10m ra ô tô, ba gác đỗ cửa, chỉ 2.3 tỷ.",32 m²,"Quận Hoàng Mai, Hà Nội"
,"NỢ NGÂN HÀNG-Bán Nhà mới xây xong 4t, 30/43m CẦU AM -VAN PHÚC- HÀ ĐÔNG: 0392319301",40 m²,"Quận Hà Đông, Hà Nội"
,BÁN NHÀ MỸ ĐÌNH 9.9 TỶ 7 TẦNG 65M NHÀ MỚI THANG MÁY NGÕ Ô TÔ KINH DOANH SẦM UẤT,65 m²,"Quận Nam Từ Liêm, Hà Nội"
,Nhà bán chính chủ Âu Cơ Tân Bình 40m2 hẻm thông thoáng nhỉnh 3 tỷ,40 m²,"Quận Tân Bình, Hồ Chí Minh"
,"BÁN GẤP CĂN NHÀ NGAY TT Q. 3, MT Đ. TRẦN QUỐC THẢO, DT 45M2, CHỈ 8,3 TỶ",45 m²,"Quận 3, Hồ Chí Minh"
,"BÁN GẤP CĂN NHÀ NGAY TT Q. 3, MT Đ. TRẦN QUỐC THẢO, DT 45M2, CHỈ 8,3 TỶ",45 m²,"Quận 3, Hồ Chí Minh"
,"Nhà phố TÂN AN 1 Trệt, 2 Lầu, giá từ 3 tỷ8, Vị trí đắc địa (V)",100 m²,"Thị Xã Tân An, Long An"
,BÁN CĂN HỘ CHUNG CƯ SUNRISE CITY VIEW QUẬN 7 FULL NỘI THẤT SIÊU ĐẸP - GIÁ RẺ NHẤT THỊ TRƯỜNG,99 m²,"Quận 7, Hồ Chí Minh"
,NHÀ GẦN CHỢ TRẦN VĂN QUANG Quận Tân bình 40m2 ,40 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Bán nhà MT (8m) Cô Giang,5 tầng,7.4 tỷ. ",31 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Bán đất sân bay Long Thành, sổ riêng diện tích 27m x 60m mặt tiền đường Phước Bình 32m.",1138 m²,"Huyện Long Thành, Đồng Nai"
,"Bán đất sân bay Long Thành, sổ riêng diện tích 27m x 60m mặt tiền đường Phước Bình 32m.",1138 m²,"Huyện Long Thành, Đồng Nai"
,MUA CHUNG CƯ CAO CẤP CHỈ VỚI 400TR TIN ĐƯỢC KHÔNG ?,52 m²,"Quận Hoàng Mai, Hà Nội"
,⚡️ NHỈNH 400TR CÓ THỂ MUA NGAY ĐƯỢC CHUNG CƯ NÀO TỐT NHẤT HÀ NỘI,52 m²,"Quận Hoàng Mai, Hà Nội"
,"MT KD vip, ĐƯỜNG THÀNH MỸ, NHÀ 5 TẦNG, CHỈ 4.5 TỶ , PHƯỜNG 8 ,TÂN BÌNH.",25 m²,"Quận Tân Bình, Hồ Chí Minh"
,"NGAY CẦU HOÀNG VĂN THỤ, P1, TÂN BÌNH, NHÀ 2 TẦNG, 35M2, HXH CHỈ 4.5 TỶ",35 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Bán nhà mặt phố Long Biên hơn 100m2 x 9 tầng, có thang máy, kinh doanh tuyệt đỉnh",110 m²,"Quận Long Biên, Hà Nội"
,"Bán lô đất tiềm năng trục đường 35m, giá 10,8 triệu/m2(LH:0906247585)",243 m²,"Quận Dương Kinh, Hải Phòng"
,"MẶT TIỀN PHÚ NHUẬN, MỘT ĐỜI CHỦ, 40M2 BTCT BÁN NGỘP GIÁ CHỈ 6.55 TỶ",40 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"MẶT TIỀN CÔ GIANG PHÚ NHUẬN 39.5M2, 4 TẦNG 39M2 GIÁ CHỈ 6.6 TỶ",39 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"MẶT TIỀN CÔ GIANG PHÚ NHUẬN 39.5M2, 4 TẦNG 39M2 GIÁ CHỈ 6.6 TỶ",39 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"BÁN NHÀ PHAN XÍCH LONG 4 TẦNG SỔ A4, 4PN ĐẸP XINH CHỈ 5.2 TỶ",36.5 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"MẶT TIỀN ĐƯỜNG PHÚ NHUẬN KD ĐỈNH 40M2, BTCT NỞ HẬU CHỈ 6.5 TỶ",40 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"TÔI BÁN NHÀ QUẬN 3, LÊ VĂN SỸ 66M2, 4 Tầng CHƯA ĐT, A4 CHỈ 7.250 TỶ TL",66 m²,"Quận 3, Hồ Chí Minh"
,"BÁN NHÀ HẺM XE HƠI 1 TRỤC BÌNH THẠNH 46M2, MỚI ĐẸP CHỈ 4.4 TỶ ",46 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"BÁN NHÀ TRẦN QUANG DIỆU QUẬN 3, 65M2 HẺM RỘNG ĐẸP VÀO Ở NGAY 7.3 TỶ",65 m²,"Quận 3, Hồ Chí Minh"
,"HOÀNG HOA THÁM BÌNH THẠNH HẺM XE HƠI, 48M2 SIÊU ĐẸP CHỈ 4.5 TỶ",48 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"PHAN ĐĂNG LƯU 39M2, HẺM XE HƠI 5 TẦNG TT PHÚ NHUẬN CHỈ 5 TỶ",39 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,TÔI BÁN NHÀ HXH GẦN 50m2 HAI MẶT THOÁNG MỚI Ở NGAY CHỈ 4.4 TỶ ,48 m²,"Quận Bình Thạnh, Hồ Chí Minh"
